ProsperScore,LoanOriginalAmount,LP_CustomerPrincipalPayments,StatedMonthlyIncome,Completed,ProsperRating (Alpha),LoanStatus
,9425,9425.0,3083.333333,1,,Completed
,3001,3001.0,2083.333333,1,,Completed
,1000,1000.0,1666.666667,1,,Completed
5.0,4000,209.75,5500.0,0,HR,Defaulted
,3000,3000.0,3750.0,1,,Completed
5.0,2000,117.73,2500.0,0,D,Defaulted
3.0,4000,4000.0,3885.916667,1,E,Completed
9.0,4000,4000.0,6666.666667,1,A,Completed
9.0,10000,9994.95,3750.0,1,A,Completed
,10000,10000.0,9583.333333,1,,Completed
,4000,4000.0,3166.666667,1,,Completed
,7000,6999.8,2750.0,1,,Completed
,6000,6000.0,7500.0,1,,Completed
,1000,958.4,860.0,1,,Completed
3.0,3000,3000.0,4777.0,1,E,Completed
,1000,1000.0,2750.0,1,,Completed
6.0,4500,4500.0,8333.333333,1,D,Completed
,2200,2200.0,8583.333333,1,,Completed
8.0,5600,5600.0,6466.666667,1,,Completed
3.0,4000,4000.0,3333.333333,1,E,Completed
3.0,4000,4000.0,6250.0,1,HR,Completed
,5000,5000.0,1833.333333,1,,Completed
5.0,3500,3500.0,2250.0,1,E,Completed
,2300,2300.0,10833.333333,1,,Completed
9.0,10000,10000.0,15000.0,1,A,Completed
2.0,4000,209.75,2833.333333,0,HR,Defaulted
,14000,14000.0,0.0,1,,Completed
9.0,2000,2000.0,5833.333333,1,C,Completed
5.0,3000,3000.0,4666.666667,1,HR,Completed
,3000,2910.09,4166.666667,1,,Completed
,13400,13400.0,7083.333333,1,,Completed
,2000,1999.99,2500.0,1,,Completed
,4000,3999.98,6250.0,1,,Completed
,1000,1000.0,1666.666667,1,,Completed
,12000,12000.0,2293.333333,1,,Completed
,1000,146.32,2916.666667,0,,Defaulted
6.0,10000,10000.0,4833.333333,1,D,Completed
,12500,12499.98,833.333333,1,,Completed
,8600,8618.31,4161.916667,1,,Completed
,3000,3000.01,3333.333333,1,,Completed
3.0,3000,23.82,3750.0,0,E,Defaulted
9.0,5000,5000.0,4833.333333,1,A,Completed
,4000,4000.0,0.083333,1,,Completed
10.0,2200,2200.0,4169.333333,1,AA,Completed
,6500,6499.99,5833.333333,1,,Completed
7.0,15000,15000.0,6333.333333,1,,Completed
,5500,5500.01,8500.0,1,,Completed
8.0,3000,2999.99,3493.75,1,C,Completed
,3000,3000.0,7500.0,1,,Completed
,2000,2000.0,4958.333333,1,,Completed
8.0,9000,8999.99,5250.0,1,AA,Completed
5.0,10000,10000.0,0.0,1,D,Completed
9.0,6500,6500.0,5586.5,1,A,Completed
,15000,15000.0,3616.083333,1,,Completed
,2200,2200.0,3333.333333,1,,Completed
1.0,5500,292.65,4583.333333,0,E,Defaulted
,1200,6.24,200.0,0,,Defaulted
6.0,6000,2155.59,3333.333333,0,C,Defaulted
,1000,999.96,1000.0,1,,Completed
,10000,530.9,3750.0,0,,Defaulted
,2000,415.44,2500.0,0,,Defaulted
5.0,3800,3800.0,4166.666667,1,D,Completed
8.0,3000,3000.01,2083.333333,1,,Completed
8.0,3000,2999.99,10000.0,1,D,Completed
,7500,1477.51,9166.666667,0,,Defaulted
,8000,8000.0,5438.333333,1,,Completed
,1500,586.93,3166.666667,0,,Defaulted
,9999,1241.52,7500.0,0,,Defaulted
,3001,0.0,1666.666667,0,,Defaulted
9.0,5500,5499.98,12500.0,1,C,Completed
,4000,702.82,3744.333333,0,,Defaulted
,25000,7985.07,12083.333333,0,,Defaulted
6.0,7000,7000.0,3000.0,1,A,Completed
,1000,1000.0,0.083333,1,,Completed
7.0,8000,8000.0,3666.666667,1,A,Completed
8.0,2000,2000.0,6000.0,1,A,Completed
6.0,2000,2000.0,2291.666667,1,D,Completed
,1100,1100.01,2702.916667,1,,Completed
5.0,7500,7500.0,4504.166667,1,E,Completed
9.0,10000,10000.0,8333.333333,1,A,Completed
,1000,1000.0,2666.666667,1,,Completed
10.0,1500,1499.5,4333.333333,1,C,Completed
,2000,2000.0,6416.666667,1,,Completed
,17500,13663.22,4583.333333,0,,Defaulted
8.0,5000,5000.0,2583.333333,1,D,Completed
7.0,3000,3000.0,2083.333333,1,D,Completed
,7000,6999.99,1500.0,1,,Completed
,1000,1000.0,1583.333333,1,,Completed
,6000,6000.0,4833.333333,1,,Completed
,2000,1872.55,3333.333333,1,,Completed
5.0,4000,4000.0,2750.0,1,HR,Completed
4.0,7500,7500.0,5000.0,1,E,Completed
5.0,2500,2500.0,3958.333333,1,HR,Completed
,4000,4000.0,6166.666667,1,,Completed
,4600,4600.0,3333.333333,1,,Completed
,1000,1000.0,2333.333333,1,,Completed
1.0,4000,4000.0,6666.666667,1,HR,Completed
9.0,4500,4500.0,3750.0,1,A,Completed
6.0,10000,10000.0,10000.0,1,D,Completed
8.0,4000,4000.0,5000.0,1,E,Completed
,7500,7500.0,2416.666667,1,,Completed
5.0,1500,1499.1,2916.666667,1,E,Completed
9.0,15000,15000.0,5250.0,1,A,Completed
,1800,1800.0,3750.0,1,,Completed
8.0,7500,7500.0,8750.0,1,D,Completed
,7300,2131.35,3500.0,0,,Defaulted
,6500,6500.0,5416.666667,1,,Completed
,4000,4030.04,1200.0,1,,Completed
3.0,2000,1999.99,0.0,1,HR,Completed
,2000,0.0,3283.333333,0,,Defaulted
,10000,10000.01,5488.166667,1,,Completed
,5000,5000.0,2500.0,1,,Completed
,5500,5500.01,5200.0,1,,Completed
,2000,2000.0,4217.666667,1,,Completed
,8500,8500.0,2990.0,1,,Completed
7.0,2000,1999.99,15000.0,1,D,Completed
2.0,2500,2499.99,4166.666667,1,HR,Completed
,2000,2000.0,6666.666667,1,,Completed
6.0,3000,3000.0,4333.333333,1,D,Completed
3.0,4500,4500.0,3500.0,1,E,Completed
,10000,9999.96,2363.333333,1,,Completed
5.0,4000,4000.0,3750.0,1,HR,Completed
,1545,1544.99,1583.333333,1,,Completed
,1000,2.11,3541.666667,0,,Defaulted
8.0,4000,4000.0,6166.666667,1,,Completed
6.0,4000,919.77,3163.333333,0,HR,Defaulted
,10000,10000.03,6833.333333,1,,Completed
5.0,7500,7500.0,6666.666667,1,E,Completed
,4800,4800.0,4500.0,1,,Completed
8.0,4000,4000.0,6666.666667,1,E,Completed
,3500,3500.0,3000.0,1,,Completed
5.0,7000,7000.0,12500.0,1,D,Completed
5.0,3000,525.16,3631.166667,0,C,Defaulted
9.0,4700,4700.0,16666.666667,1,A,Completed
,5000,5000.0,5000.0,1,,Completed
8.0,11000,11000.0,2916.666667,1,,Completed
,1500,875.67,3988.0,0,,Defaulted
,15000,15000.0,8500.0,1,,Completed
,3001,3001.0,5533.333333,1,,Completed
,2500,127.01,1166.666667,0,,Defaulted
,8000,8000.0,3219.833333,1,,Completed
3.0,4000,4000.0,7083.333333,1,E,Completed
8.0,6950,6950.0,8333.333333,1,,Completed
,7000,7000.0,1333.333333,1,,Completed
8.0,10000,10000.0,6083.333333,1,A,Completed
5.0,7500,7500.0,4333.333333,1,E,Completed
3.0,4000,492.74,1061.0,0,HR,Defaulted
8.0,9000,9000.0,10000.0,1,C,Completed
,1000,1000.0,5865.0,1,,Completed
9.0,10000,10000.0,6666.666667,1,A,Completed
9.0,2500,2499.99,2750.0,1,C,Completed
,2100,2100.02,666.666667,1,,Completed
,1000,1000.02,4166.666667,1,,Completed
,8000,8000.01,9000.0,1,,Completed
,3750,3750.0,2166.666667,1,,Completed
,4000,4000.0,2708.333333,1,,Completed
3.0,4000,3999.99,5416.666667,1,HR,Completed
5.0,7000,7000.0,2884.583333,1,,Completed
4.0,7000,7000.0,5000.0,1,C,Completed
8.0,13500,13500.0,3133.333333,1,,Completed
3.0,10000,10000.0,7500.0,1,C,Completed
6.0,2500,2500.0,3083.333333,1,,Completed
,4800,4800.0,8416.666667,1,,Completed
,6000,5999.98,1625.0,1,,Completed
6.0,14584,14584.06,6500.0,1,C,Completed
,5000,5000.0,8000.0,1,,Completed
,7000,4856.65,2500.0,0,,Defaulted
7.0,4000,4000.0,8500.0,1,,Completed
,3035,378.77,4166.666667,0,,Defaulted
6.0,5000,4999.93,6200.0,1,D,Completed
,5000,5000.0,2154.666667,1,,Completed
,5000,5000.0,6833.333333,1,,Completed
,2700,2700.0,4250.0,1,,Completed
7.0,15000,15000.0,9166.666667,1,AA,Completed
,4000,4000.0,4483.416667,1,,Completed
,5000,5000.0,1916.666667,1,,Completed
8.0,5000,5000.0,5000.0,1,C,Completed
7.0,3000,3000.0,4125.0,1,D,Completed
7.0,10000,10000.0,6250.0,1,D,Completed
,5000,5000.0,792.666667,1,,Completed
1.0,1500,1500.0,5916.666667,1,HR,Completed
,10000,10000.0,2166.666667,1,,Completed
4.0,2000,2000.0,5666.666667,1,,Completed
,5000,4999.99,10500.0,1,,Completed
,1700,160.28,2583.333333,0,,Defaulted
,3500,3500.0,3166.666667,1,,Completed
7.0,6290,6289.57,3500.0,1,E,Completed
,7200,7200.0,5000.0,1,,Completed
,3000,3000.0,3766.666667,1,,Completed
,3000,2999.98,3250.0,1,,Completed
4.0,4000,4000.0,2083.333333,1,D,Completed
6.0,10000,10000.0,4416.666667,1,D,Completed
7.0,7500,1884.25,2529.166667,0,D,Defaulted
2.0,3200,3200.0,6000.0,1,D,Completed
4.0,10000,10000.0,6250.0,1,D,Completed
5.0,2100,2100.01,3416.666667,1,HR,Completed
,4000,557.01,2389.833333,0,,Defaulted
5.0,7500,7500.0,4500.0,1,E,Completed
,1000,1000.0,833.333333,1,,Completed
6.0,2100,2100.0,3083.333333,1,E,Completed
,1500,1500.0,0.083333,1,,Completed
,9000,3985.14,8333.333333,0,,Defaulted
,2551,2551.0,2916.666667,1,,Completed
7.0,4000,4000.0,6000.0,1,C,Completed
,1000,1000.0,5000.0,1,,Completed
,2550,434.24,4000.0,0,,Defaulted
,3500,2014.3,3666.666667,0,,Defaulted
8.0,13000,13000.0,7083.333333,1,A,Completed
,10000,10000.0,7000.0,1,,Completed
5.0,15000,15000.0,4541.666667,1,D,Completed
5.0,7000,7000.0,6180.0,1,E,Completed
7.0,3500,3500.0,7916.666667,1,D,Completed
10.0,2500,2500.0,8833.333333,1,AA,Completed
9.0,3500,3500.0,3333.333333,1,,Completed
,3000,2999.99,5250.0,1,,Completed
,6800,6800.0,6764.833333,1,,Completed
6.0,2500,2500.0,1666.666667,1,E,Completed
,2500,2500.03,3583.333333,1,,Completed
,1500,1365.27,2916.666667,1,,Completed
,10000,10000.0,3666.666667,1,,Completed
1.0,4000,4000.0,3500.0,1,HR,Completed
,1000,999.97,1333.333333,1,,Completed
8.0,15000,15000.0,11250.0,1,,Completed
,3400,3399.99,5100.0,1,,Completed
,1500,365.59,2500.0,0,,Defaulted
9.0,2500,2500.0,5000.0,1,C,Completed
10.0,10000,10000.0,10000.0,1,AA,Completed
,15000,661.54,5416.666667,0,,Defaulted
,6000,6000.0,3833.333333,1,,Completed
6.0,7000,7000.0,2083.333333,1,D,Completed
,7500,7500.0,2416.666667,1,,Completed
7.0,2500,2500.0,0.0,1,D,Completed
,1000,1000.0,1622.5,1,,Completed
,6001,6001.0,8333.333333,1,,Completed
,9500,9500.01,10833.333333,1,,Completed
10.0,1000,1000.0,1666.666667,1,AA,Completed
,7000,7000.0,6166.666667,1,,Completed
8.0,15000,15000.0,9083.333333,1,,Completed
,3500,3500.0,6583.333333,1,,Completed
5.0,4000,3999.99,6250.0,1,HR,Completed
,6001,6001.0,3750.0,1,,Completed
10.0,14000,13999.99,10000.0,1,AA,Completed
,1225,91.91,2100.0,0,,Defaulted
,4000,2626.43,2500.0,0,,Defaulted
9.0,4500,4499.99,6250.0,1,C,Completed
,2348,2347.99,1400.0,1,,Completed
8.0,6000,6000.0,3500.0,1,A,Completed
2.0,2000,2008.81,2625.0,1,C,Completed
6.0,1000,999.99,7083.333333,1,E,Completed
,3000,3018.32,2333.333333,1,,Completed
,4000,1656.14,2833.333333,0,,Defaulted
,10000,10000.0,3250.0,1,,Completed
,2000,2000.0,2333.333333,1,,Completed
,7400,7399.33,4416.666667,1,,Completed
9.0,4000,4000.0,4166.666667,1,C,Completed
9.0,6000,6000.0,6516.666667,1,AA,Completed
7.0,3500,3500.0,12500.0,1,A,Completed
3.0,4000,4000.0,2250.0,1,E,Completed
9.0,10000,10000.0,2583.333333,1,A,Completed
,3500,3499.92,4291.666667,1,,Completed
8.0,10170,10170.24,12500.0,1,A,Completed
,10000,10000.0,7083.333333,1,,Completed
5.0,1500,1500.0,6250.0,1,HR,Completed
,3500,3506.38,1250.0,1,,Completed
5.0,1500,1500.0,4916.666667,1,HR,Completed
,3500,3499.98,0.0,1,,Completed
9.0,2500,2500.0,3500.0,1,D,Completed
,1800,1676.64,2211.166667,1,,Completed
,4500,4500.0,2250.0,1,,Completed
,1000,1000.0,3166.666667,1,,Completed
,4000,4000.0,115.583333,1,,Completed
,10000,9999.99,3433.333333,1,,Completed
,2500,2500.0,6711.0,1,,Completed
,1000,1000.0,1583.333333,1,,Completed
,2500,43.18,960.0,0,,Defaulted
5.0,9500,9500.0,8250.0,1,D,Completed
6.0,2000,2000.0,3833.333333,1,D,Completed
,5000,4999.98,2500.0,1,,Completed
9.0,3000,2999.15,2583.333333,1,A,Completed
8.0,7000,7000.0,3500.0,1,,Completed
,8500,356.68,2416.666667,0,,Defaulted
6.0,2000,2000.0,2000.0,1,D,Completed
,5000,5000.0,6666.666667,1,,Completed
,4500,4500.0,6250.0,1,,Completed
,10000,10000.0,3750.0,1,,Completed
,4600,4600.0,1437.0,1,,Completed
,4900,4900.0,15000.0,1,,Completed
,10000,197.35,4166.666667,0,,Defaulted
10.0,1000,999.99,5416.666667,1,C,Completed
,1700,137.89,1871.666667,0,,Defaulted
9.0,10000,10000.0,5000.0,1,A,Completed
8.0,15000,15000.0,3166.666667,1,,Completed
10.0,1000,1000.0,800.0,1,AA,Completed
,1800,1800.0,2500.0,1,,Completed
6.0,12000,12000.0,4750.0,1,D,Completed
6.0,10000,9999.98,6000.0,1,C,Completed
,7000,3420.11,9166.666667,0,,Defaulted
8.0,6000,6000.0,8375.0,1,AA,Completed
,7500,7500.0,1590.0,1,,Completed
,2690,2690.0,11666.666667,1,,Completed
,1000,1000.0,1500.0,1,,Completed
,3000,2724.75,2333.333333,1,,Completed
8.0,12500,12500.0,8333.333333,1,A,Completed
1.0,3000,2999.99,6000.0,1,E,Completed
,1000,965.35,5416.666667,1,,Completed
8.0,2000,2000.0,1690.416667,1,,Completed
,7500,7500.01,3500.0,1,,Completed
2.0,7500,7500.0,9166.666667,1,E,Completed
10.0,7900,7900.0,7750.0,1,AA,Completed
,5000,5000.0,3333.333333,1,,Completed
,1500,209.79,2316.666667,0,,Defaulted
10.0,5000,5000.0,10833.333333,1,AA,Completed
,1500,1500.0,9166.666667,1,,Completed
,8000,8000.0,0.0,1,,Completed
,2000,2000.0,1333.333333,1,,Completed
,9500,902.29,10416.666667,0,,Defaulted
,2000,1999.98,4233.333333,1,,Completed
8.0,7500,7499.99,4083.333333,1,,Completed
,13000,8407.54,5283.333333,0,,Defaulted
,3000,3000.0,2416.666667,1,,Completed
5.0,5404,184.3,5833.333333,0,E,Defaulted
,3050,3050.0,2166.666667,1,,Completed
,1000,1000.0,9000.0,1,,Completed
7.0,3000,3000.0,3833.333333,1,D,Completed
,6000,6000.0,4600.0,1,,Completed
7.0,4500,4500.0,8583.333333,1,D,Completed
,2500,165.0,1015.833333,0,,Defaulted
,1000,1000.0,0.0,1,,Completed
9.0,10000,9999.98,4000.0,1,A,Completed
2.0,4000,4000.0,4000.0,1,HR,Completed
6.0,15000,15000.0,10333.333333,1,D,Completed
,7500,7500.0,0.0,1,,Completed
,1000,1000.0,5000.0,1,,Completed
,1000,1000.0,4333.333333,1,,Completed
5.0,4000,4000.0,8333.333333,1,HR,Completed
5.0,4000,4000.0,5416.666667,1,HR,Completed
,14000,3251.84,10833.333333,0,,Defaulted
4.0,4000,4000.0,3687.5,1,HR,Completed
6.0,2000,2000.0,0.0,1,E,Completed
3.0,2000,2000.0,3583.333333,1,HR,Completed
,13500,1546.19,8333.333333,0,,Defaulted
3.0,8500,8500.0,3916.666667,1,,Completed
6.0,6500,6500.0,6875.0,1,D,Completed
8.0,2500,2500.0,9311.083333,1,,Completed
5.0,1000,1043.69,0.0,1,E,Completed
4.0,4981,4981.27,6416.666667,1,,Completed
4.0,2000,2000.0,4833.333333,1,HR,Completed
9.0,3000,3000.0,14166.666667,1,A,Completed
,1500,119.67,2833.333333,0,,Defaulted
,6001,6205.05,5833.333333,1,,Completed
10.0,2500,2500.0,3000.0,1,AA,Completed
4.0,3000,3000.0,6833.333333,1,HR,Completed
10.0,1000,999.99,5000.0,1,AA,Completed
7.0,9000,9000.0,4166.666667,1,D,Completed
,4500,4499.99,8416.666667,1,,Completed
9.0,5000,5000.02,3416.666667,1,A,Completed
,5000,5000.0,8333.333333,1,,Completed
7.0,3500,3499.99,2840.083333,1,D,Completed
,5000,5000.0,1666.666667,1,,Completed
,1000,1000.0,3750.0,1,,Completed
,4000,3999.99,5833.333333,1,,Completed
,5000,1358.19,3916.666667,0,,Defaulted
9.0,7500,7500.0,6233.333333,1,A,Completed
,5000,5000.01,5000.0,1,,Completed
,25000,566.77,8975.416667,0,,Defaulted
,5000,5000.0,5916.666667,1,,Completed
3.0,8000,8000.0,3081.666667,1,D,Completed
10.0,2500,2500.0,2500.0,1,AA,Completed
10.0,2000,2000.0,6250.0,1,A,Completed
,12015,12015.01,5839.833333,1,,Completed
,3000,2999.97,4166.666667,1,,Completed
8.0,5000,5000.0,3350.0,1,,Completed
8.0,15000,15000.0,8664.083333,1,,Completed
,3000,3000.0,10833.333333,1,,Completed
6.0,15000,15000.0,4166.666667,1,C,Completed
,12000,12000.01,3000.0,1,,Completed
6.0,2500,2500.0,1666.666667,1,D,Completed
,5000,90.35,3333.333333,0,,Defaulted
5.0,4000,4000.0,4333.333333,1,HR,Completed
8.0,7500,2929.09,6160.25,0,,Defaulted
,1500,1500.0,1916.666667,1,,Completed
2.0,12000,11999.99,6250.0,1,C,Completed
,2500,2500.01,3858.833333,1,,Completed
6.0,7500,7500.0,5000.0,1,D,Completed
2.0,4000,4000.0,4166.666667,1,HR,Completed
,2550,2550.0,4250.0,1,,Completed
,7500,7500.0,4270.666667,1,,Completed
8.0,2000,2000.0,8333.333333,1,,Completed
,4000,1462.79,4583.333333,0,,Defaulted
,3000,472.72,13750.0,0,,Defaulted
,1000,999.97,3166.666667,1,,Completed
8.0,2500,2499.99,2500.0,1,,Completed
8.0,7500,7500.0,10000.0,1,,Completed
,3300,3299.64,5000.0,1,,Completed
5.0,1600,1600.0,2083.333333,1,HR,Completed
,4000,4000.0,9000.0,1,,Completed
,3000,3000.0,2666.666667,1,,Completed
,10000,10000.0,3500.0,1,,Completed
4.0,4000,4000.0,1233.333333,1,E,Completed
,7000,6999.98,0.0,1,,Completed
,9800,9800.0,4166.666667,1,,Completed
8.0,8000,8000.0,2000.0,1,,Completed
8.0,9500,9500.0,7166.666667,1,C,Completed
8.0,2000,2000.01,600.0,1,,Completed
9.0,1500,1499.98,3833.333333,1,E,Completed
,1000,475.59,541.666667,0,,Defaulted
8.0,6000,6000.0,9133.333333,1,A,Completed
,2500,2500.0,3500.0,1,,Completed
7.0,4000,4000.0,5395.0,1,D,Completed
,9800,9800.0,6291.666667,1,,Completed
8.0,2854,2853.99,11215.833333,1,A,Completed
,4000,247.53,2083.333333,0,,Defaulted
,9750,9749.99,5000.0,1,,Completed
10.0,15000,15000.0,12500.0,1,AA,Completed
7.0,2000,2000.0,2333.333333,1,D,Completed
5.0,4000,4000.0,3702.916667,1,E,Completed
7.0,12500,12500.0,5416.666667,1,AA,Completed
